Nume tara,Pop,PIB,Chelt_sanatate,Somaj_stud_sup,Sup,Forta_munca,Som_total,R_taxarii,C_final,Ec_brute
Albania,2884169,13038538300,5.88232793,15.30000019,28750,1287020,16,31.5,89.67287436,10.32712564
Argentina,43937140,6.37E+11,7.27711746,9.699999809,2780400,19277010,7.099999905,119.4,81.52379445,18.47620555
Armenia,2944791,11536590636,4.51975354,52.59999847,29740,1536362,16.20000076,35.9,97.5744101,2.425589899
Austria,8819901,4.17E+11,11.03413396,13.39999962,83879,4429888,4.900000095,51.9,73.72948945,26.27051055
Belgium,"11419748	",4.95E+11,11.18613504,23.20000076,30530,4955976,8.399999619,58,76.60880216,23.39119784
Bulgaria,7265115,35790838906,7.62626857,14,111000,3335363,12.89999962,27,79.17724027,20.82275973
Brazil,204259377,1.20E+12,9.67087495,6.599999905,8515770,108384636,6.5,69.2,81.64879617,18.35120383
Bhutan,754637,1491646921,3.59228288,32.40000153,38394,393397,2.900000095,35.3,75.85463435,24.14536565
Canada,35158304,1.33E+12,10.86069579,35.90000153,9984670,19518036,7.099999905,19.9,77.11377213,22.88622787
Costa Rica,4706433,28444523961,9.86872896,13.5,51100,2278411,8.5,58,83.01494508,16.98505492
Cyprus,1141652,19094028254,7.43582184,34.90000153,9250,603797,15.80000019,22.5,85.39522731,14.60477269
Czech Republic,10514272,1.54E+11,7.2439673,8.5,78870,5337984,7,50,69.44359349,30.55640651
Germany,80645605,3.18E+12,11.29719462,12.80000019,357170,41981485,5.300000191,49.1,74.61099964,25.38900036
Denmark,5614932,2.65E+11,10.62326455,21.29999924,43090,2901679,7,26.3,75.50457407,24.49542593
Egypt,87613909,1.29E+11,5.06063766,31.10000038,1001450,28973542,13.19999981,40.6,92.54548566,7.454514344
Spain,46620045,1.16E+12,8.87925999,22.20000076,505940,23419921,26.29999924,57.1,77.64983438,22.35016562
Estonia,1317997,15806234937,5.72360519,26.10000038,45230,689704,8.600000381,49.7,70.1821997,29.8178003
Finland,5438972,2.13E+11,9.39915117,21.10000038,338420,2721261,8.199999809,39.9,79.46809508,20.53190492
