,C1,C2,C3,C4,C5,C6,C7,C8,C9
Albania,0.025750001754853747,0.0006761224899976433,0.0005179971819458186,0.020700648941412058,0.010734633431554156,0.0009725341236411496,0.0013021458604755055,0.03086373489791758,-3.690598327052949e-07
Argentina,0.007704513587456666,0.06540768983070598,0.016903986842253714,0.10671446696187906,0.07236438206751195,0.1603258145692452,0.027575231633765223,0.010796246720544057,-2.5476185232819875e-08
Armenia,0.06874467629381631,0.002778585709007069,0.10576943395030264,0.0008512295378294881,0.014930258430893009,0.002336381279884687,0.1058077291966829,0.0016892320355744604,-4.0785396122992475e-06
Austria,0.0027102060291396596,0.0006637801859425652,0.03429945016248365,0.0019433449579395507,0.013858771567012457,0.000528486349390969,0.013883787010484252,0.004494165710551581,-1.1038818553471362e-06
Belgium,1.2340455437977969e-05,0.0027235404998833795,0.015388527262912174,0.010020361024988671,0.017927513333618382,0.011749244495339744,0.0003072624584970073,0.02293493514754081,-1.0736489848870855e-06
Bulgaria,0.0033281820334041695,0.005185462694356675,0.002752658071632304,0.001655448645294617,0.011052851233627044,0.0011277715891892135,0.011506718934325323,0.004894215680742172,-8.208312505193388e-08
Brazil,0.05248440125918928,0.14958641103442133,0.016841396564412144,0.02515133534618107,0.013215030969504276,0.000978947030747578,0.05981634276490588,0.060244813569249184,-2.126706408276806e-06
Bhutan,0.0004056581914139583,0.03214825692054779,0.015648626754546455,0.006613909901964006,0.031155745553373516,0.004571273300418037,0.02024242248756882,0.014746654506876424,-5.656889805621399e-10
Canada,0.009912759339873027,0.009411055396273803,0.0568095056727994,0.1576615874140555,0.00015050763008608327,0.002316233018100755,0.04387861082383214,0.07132374637376065,-4.023489489541266e-07
Costa Rica,0.0028366808839033544,0.002938369825877967,0.01716576254785355,0.00501364490818249,0.014274117374374595,0.007941644900755109,0.01238647498989021,0.0023648223342718983,-2.558972047003466e-06
Cyprus,0.02473863835549176,0.007823170879036645,0.013304905228163287,0.009291109722469448,0.001570281555143714,1.551569511500889e-05,0.004601281698292417,0.002818170744216625,-7.920920014058108e-07
Czech Republic,0.007631443053965202,0.004247431253002699,0.02347889291090589,0.015775528474886096,0.00018817978081584947,0.0023112229528308628,0.002628543415122747,0.006377339665730406,-3.6753414042096997e-07
Germany,0.029336657882088654,0.07637803094147207,0.02670100483277304,0.039398936771017044,0.002998322922046244,0.11672481429653238,0.046222686328945696,0.022089108578259662,-2.573099679961518e-07
Denmark,4.8629047369838275e-05,0.0033430641185588977,0.006466640169581114,0.021353858659931113,0.0013618387946582279,0.0059569162325202015,0.02032735067597449,0.00797441606085956,-1.743577834338542e-06
Egypt,0.01715916742196314,0.0007373522068895392,0.04297915701525171,0.015658480018604308,9.549075390243707e-05,0.0007445208585345595,0.012946837840229623,0.0033491629506618025,-4.269093578757206e-07
Spain,0.002426899200620186,0.01424919190770891,0.003870002756157609,0.003032732833577926,0.07604303810206263,0.051016516297649576,0.08599496386952775,0.004908962168450991,-3.552368952224454e-06
Estonia,0.0022557671662267516,0.016779249592574656,9.093789815963767e-05,0.003518988556912229,0.006354459242342581,0.015439024919663766,0.020742624167045746,0.00032848919757636776,-7.77525691436899e-07
Finland,0.0010495017754401702,0.0002912019152912077,0.003041122328393977,0.002095973752613867,0.00529138270647559,5.076708666738367e-06,0.005373403366106351,0.0011051409290583909,-1.4035817866865763e-06
