,C1,C2,C3,C4,C5,C6,C7,C8,C9
Albania,0.6214235687287227,0.01309291681695515,0.007216448296993643,0.19446626448816345,0.08386604670816031,0.0053004906289978275,0.0065575742881387065,0.06807669004386811,1.1947579353889013e-21
Argentina,0.04331697412140574,0.2950816921893174,0.054864027045840445,0.2335533169285895,0.13171227144686246,0.20357156067508195,0.032352301580496345,0.005547856012406211,1.9214096589931843e-23
Armenia,0.429764033412878,0.013938478261447751,0.3817128896295518,0.002071512388093421,0.030216684915237393,0.0032986442324698644,0.13803255163638656,0.000965205523935361,3.420332804754261e-21
Austria,0.08545891627882966,0.016794996870085403,0.6243496632561274,0.02385364907508865,0.14147128741616688,0.0037634800046480515,0.09135580387663127,0.012952203222422663,4.669284693474733e-21
Belgium,0.0004820606884775577,0.08536993191867014,0.3470189860395256,0.1523715030119387,0.22671438557042664,0.1036528468742625,0.002504685240401604,0.08188560065629723,5.626075187601434e-21
Bulgaria,0.2028891738084214,0.25365293084491025,0.09687009356404513,0.03928415070666824,0.21812960943573947,0.015526505313719767,0.14637821056775976,0.02726932575873599,6.712408361613253e-22
Brazil,0.24466449203834081,0.559542925497946,0.04532151822847598,0.045640626744388894,0.01994331635855983,0.0010306249602036266,0.0581880336197533,0.025668462552331506,1.3299059317848982e-21
Bhutan,0.007443174513119754,0.473321193269061,0.16575240295125568,0.047239585669320856,0.18506512936309882,0.018942439260231005,0.07750568578333987,0.024730389190572893,1.3923497971366973e-24
Canada,0.07751659104204009,0.05905259696535712,0.25645239704686557,0.47992773845465014,0.00038101942338592226,0.004090563283629109,0.07160215596381654,0.05097693782025532,4.220614235816142e-22
Costa Rica,0.10797750951400341,0.08974904760012484,0.37719990491127303,0.07428929721775196,0.17589787107337584,0.06827065245626894,0.09838835086559396,0.008227366361607955,1.3066553518711675e-20
Cyprus,0.5616917705288247,0.14252979299039603,0.17438924767923417,0.08211825494929295,0.011542191984813899,7.95599077685752e-05,0.021800889732551895,0.005848292227117763,2.4125181110735343e-21
Czech Republic,0.23518463115150326,0.10503382883168087,0.4177010190401469,0.18925006656649596,0.0018774298724944973,0.01608588193625306,0.01690404155268049,0.017963101048745066,1.5194018216119341e-21
Germany,0.18293023852509635,0.38215882331396717,0.09611432480863034,0.09563331720816963,0.006052597088895981,0.16437615630189395,0.060145504637999066,0.012589038115347425,2.152306714995245e-22
Denmark,0.0022582991086367156,0.12457502304336274,0.17336045832120353,0.3860218776500056,0.020473867963656227,0.062475243711970094,0.19698792587578648,0.03384730432537863,1.0861748081704537e-20
Egypt,0.33084919139065944,0.011407997545085537,0.47838484015773824,0.11752582870134555,0.000596051360035222,0.0032419887251176633,0.05209196033475538,0.005902141785262944,1.1041859734726704e-21
Spain,0.03379686954108587,0.15922657044510152,0.031111550867064346,0.016440262351611765,0.34282516333571694,0.160448736188788,0.24990266175283238,0.006248185517799218,6.636139208409618e-21
Estonia,0.08340949975589194,0.49784522789654256,0.001941117421196154,0.05065110845926592,0.07606560770163477,0.12892640666510108,0.16005088166936937,0.0011101504309982899,3.856636250669411e-21
Finland,0.15454079366133827,0.03440762976925487,0.2585112812605272,0.12014222046411592,0.2522421326051763,0.00016882741353116515,0.16511347988018274,0.014873634945873454,2.772492437103955e-20
France,0.04331453613937572,0.6065139867272215,0.09519033520984785,0.10824080777594867,0.0025668830580592348,0.006361026764104796,0.1378095052036913,2.919121750891975e-06,1.6554596229905045e-27
United Kingdom,0.009332270217391723,0.38494659291678024,0.0008166820071283042,0.09577904463824115,0.007349343865749057,0.3628343152721985,0.09557119384194368,0.043370557240567216,2.1756808135471977e-22
Georgia,0.5120044050473711,0.049944804236170155,0.14990228022234417,0.24187604591625508,0.0001017354816858552,0.004487247075629445,4.410386731132791e-06,0.041679071633813035,8.28860458432949e-21
Greece,0.6304670539105035,0.06915617975546877,0.0032752672308681403,0.005182903721639033,0.1633805269650318,0.11106791539023361,0.008128044540417564,0.00934210848583762,6.876866876063031e-25
Guatemala,0.22230968039103957,0.03665873377777165,0.00010876508343739688,0.32124427000473527,0.10767793377403498,0.1374723782410429,0.11877418517432463,0.05575405355361362,2.1230831741263782e-20
