,C1,C2,C3,C4,C5,C6,C7,C8,C9
Albania,-1.8252564402756388,-0.2649404279478245,0.19669430301236782,-1.0210621207446977,0.670537568011311,-0.16857301896860008,-0.18750015831181768,-0.6041283898097881,-8.003316483430566e-11
Argentina,0.9984075826532278,2.605853207970536,-1.1236282660701444,-2.3183117407529177,-1.740972593997978,2.1643992160428493,0.8628422567353946,-0.35730690194911807,2.1027556068777388e-11
Armenia,-2.982323795150597,-0.5370904635598783,2.81065909290553,0.20705395360781734,-0.7907936406479541,0.2612808013075972,1.6901705039662043,0.14133497927254837,-2.6605654255858e-10
Austria,0.5921563782743782,0.2625111077288235,-1.600558904504216,0.3128492613115625,-0.7618892990493489,0.12426605963218428,-0.6122457692217677,0.23053111241834265,-1.3841491747997554e-10
Belgium,0.039957734056067194,0.5317438323384162,-1.0720785627320772,0.7103982279777495,-0.8665418315137483,0.5859230874106198,0.09108074451862333,0.5207793596314878,-1.365063202279028e-10
Bulgaria,-0.6562038799306483,-0.7337182126876493,-0.4534237001781268,-0.28874737271800915,0.6804037021050323,-0.18152908359170128,-0.5573751136975358,-0.24057281892740542,-3.774405374477006e-11
Brazil,2.605855812285187,3.9407747661902897,1.1215461114941971,-1.1254875851399602,0.7439840042401711,0.16912789248524615,-1.2708132946484607,0.8440435149696229,-1.921212353763162e-10
Bhutan,0.2290948798452764,-1.8268978201503365,1.0811008251625822,-0.5771508268043051,-1.1423484054004505,-0.3654721043906045,0.7392699681018778,-0.4175916035219165,-3.1333611917814947e-12
Canada,1.1324852109417447,0.9884500034971241,2.0598641916126916,2.817884137997617,0.07939785400367608,0.2601517576898946,-1.0884243676514487,-0.9183792835679113,-8.356473423376991e-11
Costa Rica,-0.605815665021438,0.5523174570785755,-1.132295113659017,-0.5025010468083757,-0.7732218846069585,0.481715779363035,-0.5782900054253824,0.16722617809857818,-2.1074358889007616e-10
Cyprus,-1.789052783188692,-0.9012119683200214,0.9968595539062981,0.6840596586843635,0.25645919240754966,0.021292235399611975,0.3524611327076225,0.18255286621745656,-1.1724907214873725e-10
Czech Republic,0.9936617946435149,-0.6640468509574611,-1.324240574018733,-0.8913579521958943,-0.08878017255788741,0.2598702482631741,-0.2663970422881784,-0.27461533123388276,7.9867565073489e-11
Germany,1.9482315679863362,2.8159164917886543,-1.412185947280383,1.4086478473716084,0.3543795955100066,-1.8467888176676197,1.117118933019464,-0.5110861357655113,6.682668315870008e-11
Denmark,-0.07932007916366758,-0.5891256005779701,-0.6949721971067945,1.0370468265195705,-0.23883191258073788,-0.4172020049922637,-0.7408191686146326,0.30708206367820756,-1.739571445991431e-10
Egypt,-1.4899900348688377,0.2766769850918904,1.7916659054285426,-0.8880450261063135,-0.06324266561091736,-0.14749390538113566,0.5912262057547524,0.19900919554878446,8.60774589763034e-11
Spain,-0.5603522592951568,1.2162718635329561,-0.537630279051055,0.3908204329395781,1.784675392174078,1.220930772737265,1.5237310958988837,0.2409349745918656,2.483022377664243e-10
Estonia,0.5402345972993252,-1.3198415901674576,-0.08241391376482149,-0.4209874140291958,-0.5159038927689347,0.671653952026998,0.7483481177743965,-0.062325468412795425,1.1616598380238474e-10
Finland,-0.36849096747361226,-0.17387320355329985,-0.47659011213620933,0.3249025387013674,-0.4707757592297104,0.01217942432094287,-0.3808873445608675,0.11431779438560659,-1.5607755846719346e-10
France,0.7493706383301274,2.8041435931810903,-1.1109033254811633,1.1846098816208652,-0.182424380677337,-0.28717289754024106,1.3366553021230272,0.006151852913097297,-1.465005094992171e-13
United Kingdom,0.3296443107340764,2.117152648370532,-0.09751657192395193,1.0560565692499138,0.29253391002831475,-2.055446177136679,1.0549100689120792,-0.7106396466130476,-5.033261830479851e-11
Georgia,-2.142983825775386,-0.6693098279120526,1.159541145916809,1.4729176780935722,-0.03020774227312775,-0.20061898834425193,0.0062895616861947225,0.6114220022257575,-2.726608318371022e-10
Greece,-2.7124656041258968,0.8983561362678575,-0.19550434391278013,0.24593458816718536,1.3808076600353096,1.1384851016612447,0.3079825275232902,0.3301835970838844,-2.8328811199265937e-12
Guatemala,-1.4894150594072415,0.6048188018592309,0.0329443772290131,-1.79041722945742,-1.0365730423480664,-1.1712356325544022,-1.0886733288383668,-0.7458899875828502,-4.602778308662626e-10
