,PIB,Chelt_sanatate,Somaj_stud_sup,Sup,Forta_munca,Som_total,R_taxarii,C_final,Ec_brute
Albania,-0.6045381065055763,-0.8717755976331187,-0.6103747079610615,-0.3589162367706393,-0.56086467252717,0.9829692363657759,-0.542065343550623,1.0391598092157703,-1.0391598095025014
Argentina,0.296361894947394,-0.28467669527221756,-1.1853187380363506,0.5857486062247899,0.16302797214213127,-0.4498173411751882,4.55125833828356,0.27600146360858074,-0.27600146374137663
Armenia,-0.6067066773801192,-1.4453144087210352,3.2191627695122897,-0.35857636135241183,-0.5508314907517975,1.0151668095531046,-0.28710943683764917,1.779135734067694,-1.779135734597334
Austria,-0.02128272332703854,1.2967377159054987,-0.805445049128802,-0.33998998229441774,-0.43439995362701955,-0.8039892697947767,0.6400029512095285,-0.453932341759864,0.45393234177430214
Belgium,0.09133673224298754,1.3607184565880526,0.2007070520908545,-0.35830514763483645,-0.4132308905175468,-0.2405339567769441,0.9934645491525151,-0.18428576220517298,0.1842857621652206
Bulgaria,-0.5716874435925853,-0.13771098537110454,-0.7438438682263279,-0.33067911237750275,-0.47844214580759703,0.4839086872168841,-0.8028157026888917,0.05624752504566455,-0.05624752513413403
Brazil,1.1092433498951462,0.7229107325579762,-1.5035912946036585,2.5547498965672006,3.748597227341439,-0.5464096783924445,1.6424432207855397,0.28770782885310237,-0.28770782898825953
Bhutan,-0.6212099606162071,-1.835708080845847,1.145257973434722,-0.35560536956519967,-0.5968228424209451,-1.1259637781649283,-0.32187615138941844,-0.2549133010864056,0.2549133010606993
Canada,1.2969424425118563,1.2237336123871105,1.5045979677838244,3.0590357570058413,0.17272652942726943,-0.4498173411751882,-1.2142218248848269,-0.13699550966836654,0.1369955096188757
Costa Rica,-0.582294340894532,0.8061920231041585,-0.7951781531333425,-0.35124329172277785,-0.5209724517482066,-0.22443517002229282,0.9934645491525151,0.4156471733586431,-0.41564717351960595
Cyprus,-0.5957949528923808,-0.21787438188098707,1.401929397969795,-0.3656107525842096,-0.5883566335771147,0.9507718161163391,-1.0635660618271605,0.638559731437238,-0.6385597316431647
Czech Republic,-0.40101242608238286,-0.29863035790767495,-1.3085210022034888,-0.34170961458724713,-0.3978594099661496,-0.4659160512999066,0.5299083551289263,-0.8553049269353286,0.855304927030726
Germany,3.968044914365039,1.4074659809365206,-0.8670461324961346,-0.24616685812998407,1.0766250588318977,-0.73959435266597,0.4777582833012726,-0.3713792356833426,0.37137923568112907
Denmark,-0.24074627777119192,1.1237933580390675,0.005636613387972438,-0.3539931928338906,-0.49589299807103693,-0.4659160512999066,-0.8433768696659557,-0.2876963179543289,0.28769631793523587
